iter	Passed	Remaining
0	117	11591
1	120	5881
2	123	3978
3	125	3023
4	129	2463
5	133	2096
6	137	1827
7	141	1628
8	144	1463
9	147	1328
10	150	1219
11	154	1130
12	157	1055
13	160	988
14	163	928
15	166	875
16	169	828
17	172	786
18	175	749
19	178	714
20	181	682
21	184	653
22	187	628
23	190	603
24	193	580
25	196	559
26	199	539
27	202	520
28	205	501
29	207	485
30	210	469
31	213	453
32	216	439
33	219	425
34	222	413
35	225	400
36	228	388
37	232	378
38	235	368
39	240	361
40	246	354
41	250	345
42	253	335
43	257	327
44	260	318
45	264	310
46	267	301
47	271	293
48	274	285
49	277	277
50	288	277
51	291	269
52	295	261
53	297	253
54	300	245
55	303	238
56	306	231
57	309	223
58	311	216
59	314	209
60	318	203
61	321	196
62	324	190
63	327	184
64	330	177
65	333	171
66	336	165
67	339	159
68	342	153
69	345	148
70	348	142
71	351	136
72	353	130
73	356	125
74	359	119
75	362	114
76	365	109
77	368	103
78	371	98
79	374	93
80	377	88
81	381	83
82	383	78
83	387	73
84	389	68
85	392	63
86	395	59
87	399	54
88	402	49
89	405	45
90	408	40
91	411	35
92	414	31
93	417	26
94	420	22
95	423	17
96	426	13
97	429	8
98	432	4
99	435	0
